	number	yr	yn	year
434	1089	1438-1439	525042	1438
435	1082	1439-1440	525407	1439
436	965	1440-1441	525773	1440
437	901	1441-1442	526138	1441
438	879	1442-1443	526503	1442
439	947	1443-1444	526868	1443
440	914	1444-1445	527234	1444
441	888	1445-1446	527599	1445
442	919	1446-1447	527964	1446
443	889	1447-1448	528329	1447
444	934	1448-1449	528695	1448
445	1026	1449-1450	529060	1449
446	961	1450-1451	529425	1450
447	931	1451-1452	529790	1451
448	1027	1452-1453	530156	1452
449	1023	1453-1454	530521	1453
450	1088	1454-1455	530886	1454
451	1139	1455-1456	531251	1455
452	1181	1456-1457	531617	1456
453	1158	1457-1458	531982	1457
454	1060	1458-1459	532347	1458
455	1070	1459-1460	532712	1459
456	1059	1460-1461	533078	1460
457	1056	1461-1462	533443	1461
458	1011	1462-1463	533808	1462
459	965	1463-1464	534173	1463
460	996	1464-1465	534539	1464
461	942	1465-1466	534904	1465
462	928	1466-1467	535269	1466
463	1017	1467-1468	535634	1467
464	1051	1468-1469	536000	1468
465	1077	1469-1470	536365	1469
466	995	1470-1471	536730	1470
467	982	1471-1472	537095	1471
468	1024	1472-1473	537461	1472
469	1025	1473-1474	537826	1473
470	1019	1474-1475	538191	1474
471	1075	1475-1476	538556	1475
472	1088	1476-1477	538922	1476
473	1006	1477-1478	539287	1477
474	950	1478-1479	539652	1478
475	921	1479-1480	540017	1479
476	1082	1480-1481	540383	1480
477	1208	1481-1482	540748	1481
478	1153	1482-1483	541113	1482
479	1184	1483-1484	541478	1483
480	1253	1484-1485	541844	1484
481	1187	1485-1486	542209	1485
482	1114	1486-1487	542574	1486
483	1043	1487-1488	542939	1487
484	899	1488-1489	543305	1488
485	861	1489-1490	543670	1489
486	1018	1490-1491	544035	1490
487	1129	1491-1492	544400	1491
488	1047	1492-1493	544766	1492
489	969	1493-1494	545131	1493
490	906	1494-1495	545496	1494
491	861	1495-1496	545861	1495
492	867	1496-1497	546227	1496
493	930	1497-1498	546592	1497
494	958	1498-1499	546957	1498
495	1117	1500-1501	547687	1500
496	999	1501-1502	548052	1501
497	1018	1502-1503	548417	1502
498	995	1503-1504	548782	1503
499	946	1504-1505	549148	1504
500	954	1505-1506	549513	1505
501	929	1506-1507	549878	1506
502	869	1507-1508	550243	1507
503	826	1508-1509	550609	1508
504	827	1509-1510	550974	1509
505	804	1510-1511	551339	1510
506	804	1511-1512	551704	1511
507	829	1512-1513	552070	1512
508	800	1513-1514	552435	1513
509	888	1514-1515	552800	1514
510	1016	1515-1516	553165	1515
511	1011	1516-1517	553531	1516
512	1001	1517-1518	553896	1517
513	955	1518-1519	554261	1518
514	950	1519-1520	554626	1519
515	986	1520-1521	554992	1520
516	965	1521-1522	555357	1521
517	871	1522-1523	555722	1522
518	885	1523-1524	556087	1523
519	937	1524-1525	556453	1524
520	846	1525-1526	556818	1525
521	877	1526-1527	557183	1526
522	889	1527-1528	557548	1527
523	957	1528-1529	557914	1528
524	1047	1529-1530	558279	1529
525	1093	1530-1531	558644	1530
526	1182	1531-1532	559009	1531
527	1078	1532-1533	559375	1532
528	974	1533-1534	559740	1533
529	969	1534-1535	560105	1534
530	917	1535-1536	560470	1535
531	913	1536-1537	560836	1536
532	980	1537-1538	561201	1537
533	1002	1538-1539	561566	1538
534	998	1539-1540	561931	1539
535	1027	1540-1541	562297	1540
536	1048	1541-1542	562662	1541
537	960	1542-1543	563027	1542
538	968	1543-1544	563392	1543
539	1109	1544-1545	563758	1544
540	1064	1545-1546	564123	1545
541	997	1546-1547	564488	1546
542	965	1547-1548	564853	1547
543	950	1548-1549	565219	1548
544	1128	1549-1550	565584	1549
545	1211	1550-1551	565949	1550
546	1125	1551-1552	566314	1551
547	1227	1552-1553	566680	1552
548	1353	1553-1554	567045	1553
549	1366	1554-1555	567410	1554
550	1318	1555-1556	567775	1555
551	1223	1556-1557	568141	1556
552	1276	1557-1558	568506	1557
553	1324	1558-1559	568871	1558
554	1322	1559-1560	569236	1559
555	1250	1560-1561	569602	1560
556	1313	1561-1562	569967	1561
557	1397	1562-1563	570332	1562
558	1257	1563-1564	570697	1563
559	1206	1564-1565	571063	1564
560	1216	1565-1566	571428	1565
561	1162	1566-1567	571793	1566
562	1057	1567-1568	572158	1567
563	977	1568-1569	572524	1568
564	978	1569-1570	572889	1569
565	1080	1570-1571	573254	1570
566	965	1571-1572	573619	1571
567	861	1572-1573	573985	1572
568	930	1573-1574	574350	1573
569	1058	1574-1575	574715	1574
570	1092	1575-1576	575080	1575
571	1173	1576-1577	575446	1576
572	1134	1577-1578	575811	1577
573	953	1578-1579	576176	1578
574	1011	1579-1580	576541	1579
575	969	1580-1581	576907	1580
576	857	1581-1582	577272	1581
577	819	1582-1583	577637	1582
578	760	1583-1584	578002	1583
579	760	1584-1585	578368	1584
580	751	1585-1586	578733	1585
581	721	1586-1587	579098	1586
582	740	1587-1588	579463	1587
583	738	1588-1589	579829	1588
584	728	1589-1590	580194	1589
585	793	1590-1591	580559	1590
586	876	1591-1592	580924	1591
587	864	1592-1593	581290	1592
588	825	1593-1594	581655	1593
589	908	1594-1595	582020	1594
590	905	1595-1596	582385	1595
591	847	1596-1597	582751	1596
592	876	1597-1598	583116	1597
593	908	1598-1599	583481	1598
594	1018	1599-1600	583846	1599
595	1114	1600-1601	584212	1600
596	917	1601-1602	584577	1601
597	893	1602-1603	584942	1602
598	906	1603-1604	585307	1603
599	791	1604-1605	585673	1604
600	819	1605-1606	586038	1605
601	828	1606-1607	586403	1606
602	949	1607-1608	586768	1607
603	1076	1608-1609	587134	1608
604	1057	1609-1610	587499	1609
605	1039	1610-1611	587864	1610
606	1135	1611-1612	588229	1611
607	1140	1612-1613	588595	1612
608	1056	1613-1614	588960	1613
609	1003	1614-1615	589325	1614
610	986	1615-1616	589690	1615
611	1023	1616-1617	590056	1616
612	985	1617-1618	590421	1617
613	949	1618-1619	590786	1618
614	961	1619-1620	591151	1619
615	1056	1620-1621	591517	1620
616	999	1621-1622	591882	1621
617	829	1622-1623	592247	1622
618	836	1623-1624	592612	1623
619	914	1624-1625	592978	1624
620	1085	1625-1626	593343	1625
621	1119	1626-1627	593708	1626
622	971	1627-1628	594073	1627
623	985	1628-1629	594439	1628
624	1188	1629-1630	594804	1629
625	1251	1630-1631	595169	1630
626	1160	1631-1632	595534	1631
627	1065	1632-1633	595900	1632
628	1052	1633-1634	596265	1633
